n,T
38000,96
38000,124
38000,101
38000,105
38000,90
38000,118
38000,99
38000,105
38000,106
38000,106
38000,142
38000,112
38000,119
38000,97
38000,101
38000,94
38000,101
38000,93
38000,113
38000,103
38000,108
38000,94
38000,94
38000,98
38000,96
38000,101
38000,104
38000,87
38000,101
38000,89
38000,104
38000,100
38000,102
38000,100
38000,99
39000,117
39000,95
39000,104
39000,96
39000,98
39000,139
39000,116
39000,88
39000,86
39000,113
39000,93
39000,99
39000,103
39000,110
39000,98
39000,198
39000,98
39000,109
39000,112
39000,107
39000,103
39000,118
39000,112
39000,138
39000,92
39000,103
39000,89
39000,84
39000,108
39000,102
39000,88
39000,103
39000,115
39000,104
39000,97
39000,112
39000,96
39000,103
39000,114
39000,182
39000,90
39000,95
39000,98
39000,109
39000,109
39000,98
39000,111
39000,96
39000,108
39000,126
40000,107
40000,97
40000,96
40000,115
40000,114
40000,95
40000,125
40000,99
40000,100
40000,96
40000,103
40000,100
40000,95
40000,118
40000,98
40000,98
40000,113
40000,104
40000,101
40000,112
40000,122
40000,108
40000,100
40000,92
40000,112
40000,121
40000,97
40000,116
40000,109
40000,121
40000,94
40000,86
40000,98
40000,117
40000,90
40000,147
40000,99
40000,91
40000,105
40000,98
40000,106
40000,111
40000,95
40000,95
40000,103
40000,93
40000,107
40000,120
40000,121
40000,103
41000,113
41000,102
41000,101
41000,122
41000,98
41000,110
41000,95
41000,116
41000,101
41000,139
41000,123
41000,108
41000,94
41000,114
41000,102
41000,86
41000,119
41000,115
41000,84
41000,92
41000,102
41000,91
41000,112
41000,98
41000,117
41000,102
41000,117
41000,102
41000,100
41000,104
41000,96
41000,105
41000,103
41000,105
41000,118
41000,90
41000,100
41000,107
41000,119
41000,97
41000,97
41000,100
41000,99
41000,119
41000,111
41000,102
41000,121
41000,111
41000,131
41000,116
42000,127
42000,110
42000,106
42000,103
42000,96
42000,105
42000,110
42000,94
42000,109
42000,113
42000,105
42000,107
42000,112
42000,99
42000,120
42000,103
42000,122
42000,110
42000,102
42000,90
42000,138
42000,115
42000,119
42000,105
42000,106
42000,131
42000,119
42000,94
42000,112
42000,112
42000,95
42000,106
42000,113
42000,97
42000,105
42000,102
42000,118
42000,98
42000,88
42000,105
42000,105
42000,120
42000,119
42000,116
42000,139
42000,94
42000,100
42000,101
42000,135
42000,112
43000,109
43000,95
43000,143
43000,104
43000,109
43000,112
43000,94
43000,109
43000,107
43000,107
43000,96
43000,93
43000,104
43000,100
43000,95
43000,115
43000,109
43000,102
43000,115
43000,105
43000,103
43000,112
43000,117
43000,86
43000,102
43000,109
43000,97
43000,104
43000,109
43000,109
43000,104
43000,106
43000,109
43000,111
43000,123
43000,109
43000,105
43000,117
43000,119
43000,91
43000,113
43000,114
43000,109
43000,104
43000,132
43000,103
43000,112
43000,98
43000,103
43000,105
44000,93
44000,120
44000,114
44000,95
44000,103
44000,122
44000,124
44000,99
44000,110
44000,94
44000,112
44000,115
44000,94
44000,114
44000,103
44000,112
44000,92
44000,110
44000,94
44000,113
44000,109
44000,138
44000,105
44000,99
44000,104
44000,102
44000,100
44000,94
44000,96
44000,96
44000,100
44000,95
44000,138
44000,101
44000,97
44000,109
44000,125
44000,93
44000,111
44000,114
44000,104
44000,108
44000,98
44000,95
44000,91
44000,116
44000,109
44000,105
44000,100
44000,99
45000,119
45000,140
45000,97
45000,101
45000,93
45000,107
45000,97
45000,109
45000,120
45000,106
45000,112
45000,96
45000,103
45000,135
45000,104
45000,95
45000,92
45000,109
45000,92
45000,119
45000,92
45000,108
45000,97
45000,98
45000,101
45000,119
45000,123
45000,116
45000,97
45000,91
45000,110
45000,111
45000,110
45000,112
45000,97
45000,121
45000,111
45000,104
45000,97
45000,118
45000,103
45000,103
45000,102
45000,124
45000,99
45000,96
45000,100
45000,102
45000,114
45000,106
46000,98
46000,118
46000,107
46000,100
46000,88
46000,111
46000,98
46000,102
46000,102
46000,107
46000,103
46000,99
46000,106
46000,117
46000,115
46000,112
46000,118
46000,109
46000,122
46000,117
46000,100
46000,111
46000,95
46000,111
46000,107
46000,98
46000,98
46000,101
46000,104
46000,105
46000,134
46000,114
46000,128
46000,120
46000,109
46000,97
46000,116
46000,105
46000,99
46000,125
46000,133
46000,89
46000,100
46000,115
46000,113
46000,126
46000,109
46000,117
46000,105
46000,95
47000,118
47000,119
47000,108
47000,107
47000,104
47000,105
47000,102
47000,114
47000,107
47000,105
47000,120
47000,107
47000,109
47000,108
47000,91
47000,97
47000,98
47000,109
47000,126
47000,131
47000,142
47000,98
47000,118
47000,112
47000,105
47000,103
47000,96
47000,95
47000,115
47000,105
47000,117
47000,109
47000,107
47000,110
47000,107
47000,105
47000,112
47000,107
47000,106
47000,129
47000,102
47000,112
47000,101
47000,119
47000,116
47000,111
47000,94
47000,124
47000,143
47000,111
48000,91
48000,109
48000,93
48000,104
48000,99
48000,118
48000,100
48000,102
48000,105
48000,101
48000,141
48000,128
48000,98
48000,116
48000,97
48000,99
48000,107
48000,118
48000,106
48000,107
48000,110
48000,99
48000,102
48000,107
48000,102
48000,93
48000,118
48000,103
48000,108
48000,110
48000,106
48000,106
48000,104
48000,104
48000,156
48000,95
48000,94
48000,107
48000,120
48000,119
48000,132
48000,106
48000,105
48000,100
48000,100
48000,105
48000,93
48000,85
48000,108
48000,93
49000,94
49000,118
49000,132
49000,115
49000,131
49000,110
49000,138
49000,105
49000,121
49000,102
49000,96
49000,93
49000,101
49000,127
49000,101
49000,96
49000,117
49000,106
49000,107
49000,94
49000,98
49000,108
49000,102
49000,98
49000,120
49000,99
49000,102
49000,95
49000,115
49000,113
49000,100
49000,116
49000,106
49000,93
49000,95
49000,97
49000,123
49000,97
49000,125
49000,112
49000,161
49000,110
49000,105
49000,95
49000,90
49000,95
49000,100
49000,108
49000,128
49000,124
50000,122
50000,107
50000,103
50000,118
50000,101
50000,94
50000,109
50000,109
50000,123
50000,131
50000,107
50000,92
50000,107
50000,118
50000,154
50000,94
50000,110
50000,136
50000,106
50000,112
50000,104
50000,150
50000,113
50000,109
50000,100
50000,119
50000,92
50000,94
50000,92
50000,149
50000,110
50000,136
50000,94
50000,92
50000,140
50000,116
50000,93
50000,106
50000,105
50000,101
50000,111
50000,128
50000,100
50000,104
50000,108
50000,101
50000,115
50000,142
50000,108
50000,126
51000,98
51000,100
51000,112
51000,113
51000,129
51000,112
51000,103
51000,94
51000,106
51000,121
51000,97
51000,134
51000,104
51000,132
51000,116
51000,97
51000,115
51000,126
51000,120
51000,104
51000,100
51000,97
51000,89
51000,107
51000,106
51000,130
51000,98
51000,94
51000,93
51000,110
51000,106
51000,99
51000,121
51000,117
51000,100
51000,110
51000,97
51000,106
51000,103
51000,104
51000,96
51000,99
51000,92
51000,108
51000,97
51000,104
51000,109
51000,111
51000,114
51000,113
52000,106
52000,104
52000,109
52000,103
52000,103
52000,98
52000,109
52000,98
52000,116
52000,111
52000,106
52000,115
52000,109
52000,115
52000,116
52000,110
52000,99
52000,114
52000,135
52000,91
52000,112
52000,135
52000,115
52000,116
52000,108
52000,105
52000,111
52000,93
52000,108
52000,145
52000,96
52000,106
52000,117
52000,130
52000,94
52000,99
52000,97
52000,98
52000,106
52000,153
52000,123
52000,118
52000,103
52000,128
52000,105
52000,112
52000,114
52000,112
52000,129
52000,107
53000,108
53000,105
53000,112
53000,116
53000,113
53000,102
53000,108
53000,126
53000,119
53000,109
53000,125
53000,110
53000,109
53000,100
53000,116
53000,122
53000,110
53000,102
53000,102
53000,92
53000,110
53000,130
53000,111
53000,108
53000,114
53000,104
53000,99
53000,117
53000,168
53000,101
53000,110
53000,118
53000,104
53000,128
53000,128
53000,121
53000,114
53000,102
53000,97
53000,96
53000,109
53000,104
53000,110
53000,92
53000,127
53000,115
53000,109
53000,105
53000,104
53000,108
54000,141
54000,106
54000,112
54000,102
54000,129
54000,110
54000,102
54000,106
54000,103
54000,139
54000,124
54000,114
54000,108
54000,107
54000,138
54000,96
54000,120
54000,96
54000,110
54000,119
54000,112
54000,121
54000,104
54000,144
54000,105
54000,96
54000,105
54000,133
54000,103
54000,106
54000,94
54000,108
54000,116
54000,141
54000,98
54000,112
54000,90
54000,99
54000,102
54000,101
54000,108
54000,96
54000,94
54000,123
54000,106
54000,96
54000,106
54000,109
54000,119
54000,116
55000,106
55000,97
55000,96
55000,111
55000,99
55000,104
55000,102
55000,94
55000,108
55000,93
55000,106
55000,141
55000,102
55000,125
55000,105
55000,95
55000,98
55000,118
55000,127
55000,113
55000,98
55000,97
55000,108
55000,95
55000,102
55000,98
55000,118
55000,122
55000,116
55000,159
55000,101
55000,102
55000,106
55000,108
55000,133
55000,105
55000,92
55000,117
55000,115
55000,150
55000,113
55000,113
55000,108
55000,112
55000,90
55000,111
55000,103
55000,101
55000,116
55000,118
56000,105
56000,109
56000,99
56000,124
56000,98
56000,93
56000,125
56000,92
56000,107
56000,110
56000,134
56000,110
56000,100
56000,109
56000,131
56000,107
56000,103
56000,98
56000,96
56000,111
56000,106
56000,108
56000,115
56000,118
56000,110
56000,128
56000,105
56000,120
56000,93
56000,91
56000,111
56000,102
56000,108
56000,118
56000,100
56000,108
56000,118
56000,105
56000,97
56000,91
56000,104
56000,99
56000,127
56000,131
56000,122
56000,115
