n,cmp
2700,1847407
2700,1859739
2700,1850189
2700,1943603
2700,1874553
2700,1859768
2700,1862406
2700,1826575
2700,1837353
2700,1850429
2700,1877617
2700,1850680
2700,1876179
2700,1855800
2700,1820791
2700,1869471
2700,1910718
2700,1854570
2700,1871792
2700,1870160
2700,1871306
2700,1865096
2700,1885884
2700,1873197
2700,1873777
2700,1856948
2700,1855425
2700,1868325
2700,1841716
2700,1865430
2700,1856275
2700,1881628
2700,1831531
2700,1818880
2700,1805132
2700,1867966
2700,1850314
2700,1857563
2700,1892661
2700,1848375
2700,1843080
2700,1828031
2700,1838278
2700,1888277
2700,1884890
2800,1996289
2800,2015747
2800,2046749
2800,2011192
2800,1993573
2800,1953973
2800,2004251
2800,2014592
2800,1979640
2800,2004468
2800,2030307
2800,2013931
2800,1961901
2800,2041982
2800,2007634
2800,1986277
2800,1993427
2800,1996586
2800,1984614
2800,2028179
2800,2040145
2800,1999155
2800,1983744
2800,2050384
2800,1954217
2800,1988582
2800,1995974
2800,2045469
2800,2015304
2800,1975866
2800,2011781
2800,1954634
2800,2006389
2800,1992589
2800,2033749
2800,2005298
2800,2001645
2800,1959802
2800,2032584
2800,2016680
2800,1982332
2800,1996464
2800,2028299
2800,1993794
2800,2066076
2800,2049478
2800,1994902
2800,1993153
2800,2000634
2800,1994108
2900,2147418
2900,2136495
2900,2151904
2900,2153577
2900,2183177
2900,2193402
2900,2186693
2900,2141024
2900,2125150
2900,2166027
2900,2132012
2900,2188032
2900,2148832
2900,2124761
2900,2152808
2900,2132635
2900,2162647
2900,2193866
2900,2141509
2900,2178343
2900,2154515
2900,2139686
2900,2142089
2900,2121487
2900,2124759
2900,2192937
2900,2155013
2900,2174690
2900,2102467
2900,2146767
2900,2118095
2900,2153395
2900,2165857
2900,2168028
2900,2167448
2900,2106983
2900,2136587
2900,2155348
2900,2159379
2900,2106057
2900,2195687
2900,2154819
2900,2141817
2900,2174100
2900,2113586
2900,2145952
2900,2171285
2900,2147110
2900,2138111
