n,D
23000,356475
23000,277716
23000,309135
23000,247609
23000,301278
23000,301472
23000,317672
23000,292177
23000,280369
23000,288677
23000,328770
23000,340137
23000,369260
24000,327502
24000,334237
24000,315960
24000,356045
24000,339573
24000,324295
24000,331159
24000,304492
24000,279523
24000,300608
24000,336421
24000,353569
24000,300043
24000,286709
24000,300155
24000,344886
24000,331904
24000,326527
24000,335835
24000,266937
24000,315795
24000,283350
24000,387616
24000,377685
24000,297646
24000,323710
24000,312524
24000,337037
24000,333572
24000,340930
24000,275030
24000,281710
24000,336924
24000,451053
24000,378698
24000,351477
24000,421966
24000,277737
24000,282837
24000,303432
24000,341961
24000,392989
24000,352228
24000,291362
24000,281592
24000,316993
24000,305343
24000,327602
24000,357472
24000,333676
25000,309015
25000,333053
25000,382212
25000,290228
25000,368178
25000,295367
25000,333687
25000,294524
25000,333131
25000,311266
25000,313328
25000,355745
25000,328503
25000,305203
25000,422074
25000,353466
25000,348224
25000,321257
25000,340091
25000,402351
25000,291152
25000,327508
25000,372035
25000,326753
25000,343925
25000,362751
25000,308790
25000,353438
25000,301452
25000,369644
25000,333340
25000,336872
25000,327323
25000,317192
25000,338815
25000,299761
25000,320949
25000,325666
25000,340620
25000,336324
25000,303698
25000,293499
25000,328182
25000,280499
25000,318998
25000,306514
25000,318483
25000,284517
25000,346919
25000,375712
26000,308885
26000,390350
26000,304045
26000,317364
26000,339597
26000,350018
26000,299382
26000,313658
26000,378830
26000,315894
26000,329200
26000,301190
26000,340210
26000,375291
26000,283593
26000,403154
26000,341613
26000,295457
26000,301704
26000,360432
26000,369539
26000,343814
26000,354999
26000,316574
26000,464721
26000,315301
26000,352421
26000,335559
26000,356134
26000,364466
26000,397890
26000,328072
26000,327491
26000,334139
26000,322434
26000,350608
26000,316238
26000,340689
26000,300942
26000,349670
26000,306868
26000,361902
26000,379161
26000,294770
26000,329976
26000,459728
26000,325822
26000,353279
26000,346282
26000,326503
27000,378991
27000,347780
27000,463457
27000,374960
27000,375598
27000,299224
27000,311738
27000,329606
27000,332411
27000,355045
27000,329995
27000,349152
27000,336253
27000,314521
27000,337319
27000,355202
27000,331005
27000,370842
27000,420824
27000,390463
27000,354098
27000,396854
27000,348387
27000,359730
27000,343846
27000,316464
27000,366967
27000,325266
27000,329485
27000,399727
27000,388386
27000,347942
27000,379262
27000,314318
27000,392929
27000,327753
27000,337269
27000,323199
27000,402582
27000,354843
27000,330300
27000,305206
27000,381509
27000,360839
27000,373420
27000,334409
27000,461508
27000,343667
27000,407589
27000,304458
28000,359897
28000,327981
28000,427364
28000,359013
28000,361723
28000,395597
28000,384842
28000,438794
28000,355834
28000,383514
28000,328949
28000,361382
28000,355789
28000,318013
28000,389249
28000,391942
28000,403014
28000,354429
28000,532387
28000,386827
28000,318339
28000,461256
28000,443143
28000,347688
28000,389533
28000,375366
28000,340111
28000,375495
28000,344872
28000,420955
28000,397549
28000,368589
28000,410846
28000,367786
28000,377428
28000,427382
28000,381714
28000,319905
28000,354770
28000,380057
28000,417466
28000,426868
28000,380290
28000,356556
28000,441183
28000,343455
28000,366712
28000,358370
28000,358052
28000,346657
29000,409117
29000,378208
29000,420732
29000,397787
29000,395405
29000,367464
29000,390707
29000,463334
29000,408304
29000,471165
29000,387493
29000,332038
29000,424235
29000,392146
29000,408750
29000,417451
29000,367845
29000,512196
29000,445079
29000,356831
29000,416211
29000,344151
29000,340793
29000,380947
29000,386976
29000,396920
29000,447084
29000,329482
29000,392423
29000,353413
29000,383838
29000,344859
29000,380372
29000,416547
29000,464327
29000,369966
29000,390658
29000,432422
29000,360609
29000,399109
29000,377107
29000,329042
29000,386341
29000,407318
29000,374912
29000,348685
29000,485185
29000,402947
29000,381974
29000,351717
30000,381461
30000,383230
30000,414018
30000,438933
30000,467610
30000,446339
30000,448778
30000,444831
30000,455134
30000,377638
30000,455609
30000,380052
30000,371582
30000,394854
30000,393893
30000,420077
30000,440211
30000,401860
30000,412373
30000,423095
30000,405166
30000,437342
30000,415080
30000,411251
30000,368862
30000,393387
30000,390939
30000,368516
30000,453698
30000,426419
30000,401703
30000,372955
30000,366124
30000,387298
30000,433299
30000,423636
30000,453291
30000,348836
30000,348523
30000,405205
30000,366884
30000,403317
30000,444947
30000,445562
30000,399954
30000,368792
30000,377451
30000,353601
30000,438656
30000,358337
31000,439208
31000,484124
31000,402811
31000,400856
31000,364134
31000,424391
31000,455737
31000,394057
31000,468729
31000,449868
31000,407836
31000,396726
31000,411742
31000,380713
31000,428472
31000,420394
31000,384244
31000,465236
31000,415078
31000,410113
31000,411548
31000,420272
31000,447618
31000,423900
31000,395129
31000,372621
31000,384970
31000,421693
31000,403669
31000,388384
31000,385564
31000,401678
31000,460765
31000,408296
31000,401263
31000,416812
31000,397305
31000,430062
31000,404697
31000,407513
31000,451836
31000,459284
31000,377134
31000,385542
31000,414972
31000,406075
31000,505796
31000,493315
31000,455705
31000,537604
32000,499724
32000,379586
32000,408167
32000,417407
32000,511580
32000,481962
32000,426684
32000,426732
32000,472943
32000,439863
32000,433683
32000,439675
32000,481917
32000,403262
32000,386784
32000,487310
32000,416667
32000,478650
32000,473609
32000,429138
32000,437638
32000,407708
32000,416487
32000,407512
32000,433416
32000,393172
32000,438030
32000,447397
32000,423568
32000,380153
32000,427141
32000,395784
32000,402398
32000,446684
32000,416003
32000,420657
32000,482646
32000,495918
32000,394859
