n,D-C
23000,48738
23000,138607
23000,7246
23000,35267
23000,45757
23000,36131
23000,49997
23000,53763
23000,32151
23000,57612
23000,80246
23000,75259
23000,3156
23000,140234
24000,79883
24000,22148
24000,74706
24000,8316
24000,66783
24000,33158
24000,17234
24000,54884
24000,45393
24000,74903
24000,99449
24000,87644
24000,58110
24000,68087
24000,26884
24000,104385
24000,28055
24000,21466
24000,96509
24000,29169
24000,77530
24000,297
24000,165456
24000,128766
24000,37848
24000,72725
24000,26339
24000,105121
24000,36685
24000,138464
24000,33156
24000,13813
24000,98701
24000,168151
24000,118346
24000,80952
24000,101989
24000,34025
24000,67145
24000,39947
24000,88723
24000,134481
24000,105329
24000,42225
24000,41213
24000,51900
24000,46181
24000,94416
24000,103489
24000,95011
25000,34307
25000,14728
25000,117304
25000,60701
25000,80916
25000,42262
25000,65900
25000,53926
25000,16839
25000,19247
25000,84605
25000,61654
25000,71839
25000,66048
25000,153101
25000,109838
25000,79331
25000,69401
25000,111741
25000,58129
25000,32242
25000,74950
25000,51920
25000,36835
25000,83856
25000,66196
25000,28433
25000,66270
25000,36363
25000,19627
25000,88761
25000,49656
25000,81235
25000,42661
25000,65977
25000,12275
25000,15853
25000,65736
25000,55210
25000,61930
25000,57860
25000,32477
25000,60383
25000,42122
25000,68746
25000,37117
25000,36832
25000,33971
25000,105672
25000,126617
26000,20632
26000,22809
26000,44447
26000,34946
26000,76693
26000,15546
26000,39451
26000,51901
26000,56399
26000,70739
26000,53763
26000,15194
26000,20999
26000,37721
26000,28965
26000,17634
26000,112510
26000,56189
26000,45111
26000,60733
26000,91532
26000,40170
26000,57260
26000,83963
26000,187522
26000,26527
26000,83672
26000,104510
26000,72209
26000,93111
26000,44648
26000,84632
26000,60404
26000,29626
26000,35711
26000,77610
26000,70647
26000,64378
26000,48313
26000,79686
26000,4475
26000,68471
26000,110672
26000,14632
26000,109645
26000,5138
26000,18947
26000,57265
26000,59216
26000,62379
27000,129111
27000,38208
27000,156298
27000,19120
27000,115487
27000,29513
27000,42461
27000,97870
27000,40508
27000,90791
27000,68914
27000,64561
27000,78853
27000,16444
27000,58080
27000,75458
27000,10629
27000,10973
27000,108525
27000,79266
27000,74314
27000,82477
27000,77073
27000,108451
27000,76325
27000,12742
27000,73896
27000,37271
27000,68219
27000,76412
27000,93358
27000,69940
27000,123681
27000,81131
27000,130632
27000,91364
27000,47111
27000,77555
27000,27007
27000,9151
27000,90812
27000,2872
27000,100073
27000,91587
27000,85459
27000,25358
27000,31608
27000,47960
27000,131411
27000,49358
28000,92699
28000,81721
28000,120724
28000,39215
28000,60858
28000,96028
28000,67092
28000,115315
28000,88506
28000,114998
28000,68569
28000,80093
28000,91817
28000,13564
28000,4969
28000,33311
28000,48254
28000,33272
28000,231280
28000,125614
28000,60850
28000,180586
28000,173111
28000,90356
28000,118251
28000,117038
28000,57979
28000,26490
28000,54708
28000,20836
28000,90226
28000,69959
28000,19556
28000,27573
28000,2294
28000,120568
28000,103163
28000,183
28000,96331
28000,68417
28000,104940
28000,139233
28000,83864
28000,50890
28000,157011
28000,72564
28000,3861
28000,33842
28000,55320
28000,32701
29000,33364
29000,44222
29000,118209
29000,82668
29000,116590
29000,28084
29000,19087
29000,155293
29000,85670
29000,91517
29000,95452
29000,48862
29000,72071
29000,123831
29000,78834
29000,98302
29000,114515
29000,232349
29000,118978
29000,50751
29000,109793
29000,59572
29000,32973
29000,93238
29000,106958
29000,5446
29000,129461
29000,18180
29000,64479
29000,38831
29000,36405
29000,88012
29000,74230
29000,127575
29000,161466
29000,55844
29000,93103
29000,29185
29000,39271
29000,49874
29000,74219
29000,71881
29000,52402
29000,136833
29000,53380
29000,34819
29000,88142
29000,43853
29000,56833
29000,90883
30000,13975
30000,72381
30000,83646
30000,61148
30000,102928
30000,155246
30000,108004
30000,119213
30000,111965
30000,61619
30000,149548
30000,97764
30000,50137
30000,96272
30000,93726
30000,107312
30000,51455
30000,122330
30000,84720
30000,70384
30000,71398
30000,161727
30000,57644
30000,105465
30000,63002
30000,36054
30000,84763
30000,62600
30000,82188
30000,54674
30000,36911
30000,47036
30000,67140
30000,100390
30000,56350
30000,48335
30000,81825
30000,46976
30000,67792
30000,42357
30000,27861
30000,96022
30000,102820
30000,38417
30000,102244
30000,41379
30000,73517
30000,38625
30000,31962
30000,55303
31000,156788
31000,106389
31000,75218
31000,68012
31000,69845
31000,76310
31000,154404
31000,55644
31000,193596
31000,109054
31000,14716
31000,35479
31000,85784
31000,34292
31000,36373
31000,14408
31000,18473
31000,138336
31000,98953
31000,31604
31000,49477
31000,116152
31000,90870
31000,124136
31000,94208
31000,73409
31000,62729
31000,142604
31000,89705
31000,29096
31000,35649
31000,86678
31000,136481
31000,66728
31000,42046
31000,113796
31000,35795
31000,95386
31000,105145
31000,72457
31000,111686
31000,33131
31000,40255
31000,35906
31000,139019
31000,57451
31000,224708
31000,105466
31000,70539
31000,243988
32000,106591
32000,60942
32000,82165
32000,98283
32000,71400
32000,162362
32000,81048
32000,26484
32000,33071
32000,124772
32000,51030
32000,90043
32000,67313
32000,27218
32000,17882
32000,163261
32000,41545
32000,156010
32000,132716
32000,103653
32000,139746
32000,93091
32000,63340
32000,19326
32000,112107
32000,28022
32000,77047
32000,131620
32000,94266
32000,87179
32000,89415
32000,12948
32000,93580
32000,138928
32000,70745
32000,20614
32000,23824
32000,142533
32000,77171
32000,90611
32000,31087
32000,99637
32000,60004
32000,35108
32000,99640
32000,157872
32000,40723
32000,84538
32000,113524
32000,28073
33000,59521
33000,54597
33000,58877
33000,71830
33000,38646
33000,33001
33000,115936
33000,78137
33000,38555
33000,69782
33000,45288
33000,83307
33000,97351
33000,117857
33000,33377
33000,35486
33000,110248
33000,68509
33000,58721
33000,93704
33000,61203
33000,132789
33000,130279
33000,113049
33000,180213
33000,8270
33000,196412
33000,105867
33000,170165
33000,213841
33000,87600
33000,77983
33000,128578
33000,22888
33000,55943
33000,99282
33000,96989
33000,75523
33000,82669
33000,128742
33000,127235
33000,77362
33000,121615
33000,91220
33000,94538
33000,39828
33000,107612
33000,149980
33000,55083
33000,92203
34000,213383
34000,102826
34000,92704
34000,60225
34000,61402
34000,196915
34000,76227
34000,52126
34000,96376
34000,88458
34000,67719
34000,64121
34000,85612
34000,84927
34000,170502
34000,36847
34000,36466
34000,66065
34000,247758
34000,95891
34000,66679
34000,17308
34000,93079
34000,139996
34000,112807
34000,133798
34000,42805
34000,26278
34000,29619
34000,38677
34000,111657
34000,96195
34000,91479
34000,52585
34000,70687
34000,121369
34000,54037
34000,92239
34000,67468
34000,171387
34000,85876
34000,117827
34000,84893
34000,84769
34000,127360
34000,35616
34000,90996
34000,72499
34000,153755
34000,23571
35000,6809
35000,80542
35000,56531
35000,133500
35000,52923
35000,3772
35000,95462
35000,113573
35000,210221
35000,30669
35000,123143
35000,202815
35000,138789
35000,121395
35000,93320
35000,62487
35000,164257
35000,75467
35000,118972
35000,19422
35000,54668
35000,78133
35000,27692
35000,86740
35000,43554
35000,136388
35000,87496
35000,28828
35000,106683
35000,60430
35000,245741
35000,109921
35000,216772
35000,23173
35000,68670
35000,46467
35000,923
35000,220202
35000,146923
35000,83892
35000,19963
35000,119683
35000,62919
35000,127289
35000,134653
35000,172493
35000,629
35000,96536
35000,93623
35000,101986
36000,156883
36000,66642
36000,66829
36000,50281
36000,153663
36000,126653
36000,81003
36000,34180
36000,30545
36000,92643
36000,26520
36000,117627
36000,85175
36000,157409
36000,87775
36000,40364
36000,24456
36000,80475
36000,173799
36000,108164
36000,59255
36000,8371
36000,57823
36000,86338
36000,168449
36000,79262
36000,66669
36000,75844
36000,57027
36000,69451
36000,3296
36000,22258
36000,28176
36000,106049
36000,87165
36000,68138
36000,23090
36000,86056
36000,108590
36000,68531
36000,118263
36000,98975
36000,114615
36000,93610
36000,106777
36000,142923
36000,112738
36000,52870
36000,68889
36000,185700
37000,175755
37000,140024
37000,134659
37000,115157
37000,120890
37000,95698
37000,119664
37000,46204
37000,109395
37000,100359
37000,88256
37000,156027
37000,278905
37000,176156
37000,73251
37000,96945
37000,70566
37000,72521
37000,82441
37000,159088
37000,74049
37000,92761
37000,124265
37000,160369
37000,181184
37000,142111
37000,103216
37000,81765
37000,30306
37000,86270
37000,97919
37000,135854
37000,95164
37000,43451
37000,170900
37000,189742
37000,155873
37000,42497
37000,80470
37000,73542
37000,73197
37000,87939
37000,93655
37000,110051
37000,121006
37000,304782
37000,68485
37000,152135
37000,175505
37000,27092
38000,106757
38000,86044
38000,102661
38000,67502
38000,125994
38000,143990
38000,132107
38000,154598
38000,46786
38000,295160
38000,145452
38000,122323
38000,89069
38000,70924
38000,56634
38000,116609
38000,229265
38000,85239
38000,68512
38000,280562
38000,187910
38000,73125
38000,58956
38000,66612
38000,91325
38000,49236
38000,175036
38000,261049
38000,83211
38000,112650
38000,107242
38000,211660
38000,117445
38000,61651
38000,149469
38000,69352
38000,76039
38000,58963
38000,78232
38000,57829
38000,122092
38000,46407
38000,14112
38000,47721
38000,158762
38000,41798
38000,222607
38000,105279
38000,104387
38000,174901
39000,127121
39000,75537
39000,123441
39000,81133
39000,64582
39000,30257
39000,2130
39000,78079
39000,103728
39000,38079
39000,149127
39000,96754
39000,136782
39000,114360
39000,110858
39000,56280
39000,152085
39000,191309
39000,37266
39000,63759
39000,103199
39000,23911
39000,72353
39000,5064
39000,88926
39000,66437
39000,84526
39000,40065
39000,114052
39000,81545
39000,58546
39000,59507
39000,104507
39000,86669
39000,131655
39000,30514
39000,60080
39000,121244
39000,216580
39000,119282
39000,91164
39000,119763
39000,125486
39000,49744
39000,82220
39000,78529
39000,5653
39000,59684
39000,119062
39000,159342
40000,146783
40000,88224
40000,126134
40000,143968
40000,187751
40000,48977
40000,120628
40000,141377
40000,31134
40000,123584
40000,70070
40000,152287
40000,90463
40000,44956
40000,141179
40000,92803
40000,38752
40000,162527
40000,137398
40000,83705
40000,88569
40000,180759
40000,103251
40000,120620
40000,140027
40000,161991
40000,89377
40000,161579
40000,230816
40000,382094
40000,105685
40000,28822
40000,113964
40000,84067
40000,129361
40000,120330
40000,134554
40000,84077
40000,65903
40000,65989
40000,35476
40000,90461
40000,75701
40000,95956
40000,161834
40000,56250
40000,162468
40000,70445
40000,143099
40000,127038
41000,65438
41000,27501
41000,107891
41000,110748
41000,20201
41000,103675
41000,35414
41000,137715
41000,9370
41000,35480
41000,82588
41000,176503
41000,102563
41000,31758
41000,124803
41000,149841
41000,73742
41000,57483
41000,147965
41000,130528
41000,145541
41000,138456
41000,72771
41000,179605
41000,109281
41000,317214
41000,19237
41000,49544
41000,59628
41000,81182
41000,71143
41000,89282
41000,71510
41000,183269
41000,68336
41000,96870
41000,204091
41000,137027
41000,27802
41000,108631
41000,12324
41000,136948
41000,127414
41000,96342
41000,94690
41000,167290
41000,81311
41000,171961
41000,35790
41000,54087
42000,13593
42000,189003
42000,39008
42000,48226
42000,74990
42000,203017
42000,124833
42000,143081
42000,70853
42000,45642
42000,91040
42000,19223
42000,30414
42000,72421
42000,145747
42000,53304
42000,143061
42000,108574
42000,123843
42000,146754
42000,99485
42000,86722
42000,54313
42000,139621
42000,108933
42000,129679
42000,163377
42000,175238
42000,88290
42000,33192
42000,24009
42000,77262
42000,78296
