n,U
24000,8886
24000,8898
24000,8924
24000,8897
24000,8910
24000,8889
24000,8854
24000,8825
24000,8793
24000,8870
24000,8799
24000,8871
24000,8818
24000,8802
24000,8816
24000,8799
24000,8830
24000,8834
24000,8923
25000,9126
25000,9263
25000,9291
25000,9194
25000,9229
25000,9160
25000,9191
25000,9251
25000,9185
25000,9148
25000,9181
25000,9143
25000,9231
25000,9183
25000,9235
25000,9178
25000,9167
25000,9160
25000,9254
25000,9136
25000,9239
25000,9159
25000,9148
25000,9199
25000,9134
25000,9216
25000,9226
25000,9124
25000,9143
25000,9206
25000,9240
25000,9238
25000,9189
25000,9220
25000,9218
25000,9200
25000,9194
25000,9261
25000,9215
25000,9294
25000,9185
25000,9187
25000,9148
25000,9153
25000,9170
25000,9190
25000,9161
25000,9200
25000,9238
25000,9259
26000,9577
26000,9559
26000,9554
26000,9597
26000,9518
26000,9627
26000,9572
26000,9599
26000,9522
26000,9643
26000,9509
26000,9609
26000,9545
26000,9615
26000,9540
26000,9598
26000,9596
26000,9554
26000,9497
26000,9614
26000,9658
26000,9656
26000,9513
26000,9711
26000,9575
26000,9560
26000,9576
26000,9501
26000,9489
26000,9510
26000,9603
26000,9541
26000,9515
26000,9611
26000,9546
26000,9597
26000,9554
26000,9608
26000,9445
26000,9575
26000,9520
26000,9555
26000,9576
26000,9580
26000,9639
26000,9603
26000,9502
26000,9565
26000,9494
26000,9661
27000,9943
27000,9883
27000,9943
27000,9897
27000,9899
27000,9929
27000,9818
27000,9998
27000,9935
27000,9962
27000,9977
27000,10097
27000,9972
27000,10012
27000,10011
27000,9878
27000,9934
27000,9854
27000,9836
27000,9903
27000,9943
27000,9951
27000,9900
27000,9895
27000,9859
27000,9906
27000,9987
27000,9981
27000,9925
27000,9939
27000,10002
27000,10025
27000,9859
27000,9915
27000,9926
27000,10008
27000,9931
27000,10008
27000,9931
27000,9911
27000,9827
27000,9938
27000,9924
27000,9957
27000,9898
27000,9996
27000,9903
27000,9841
27000,9870
27000,9954
28000,10303
28000,10280
28000,10352
28000,10174
28000,10245
28000,10372
28000,10337
28000,10360
28000,10310
28000,10311
28000,10366
28000,10290
28000,10291
28000,10260
28000,10187
28000,10358
28000,10351
28000,10289
28000,10282
28000,10311
28000,10274
28000,10201
28000,10271
28000,10320
28000,10259
28000,10309
28000,10287
28000,10289
28000,10270
28000,10302
28000,10365
28000,10346
28000,10288
28000,10266
28000,10315
28000,10362
28000,10315
28000,10202
28000,10379
28000,10388
28000,10239
28000,10308
28000,10334
28000,10268
28000,10317
28000,10304
28000,10218
28000,10351
28000,10290
28000,10182
29000,10652
29000,10643
29000,10645
29000,10791
29000,10708
29000,10725
29000,10722
29000,10573
29000,10707
29000,10597
29000,10663
29000,10606
29000,10610
29000,10688
29000,10653
29000,10644
29000,10722
29000,10619
29000,10665
29000,10614
29000,10671
29000,10664
29000,10599
29000,10723
29000,10693
29000,10606
29000,10596
29000,10616
29000,10622
29000,10756
29000,10722
29000,10767
29000,10647
29000,10627
29000,10693
29000,10659
29000,10735
29000,10733
29000,10586
29000,10698
29000,10656
29000,10634
29000,10679
29000,10686
29000,10642
29000,10644
29000,10727
29000,10675
29000,10608
29000,10662
30000,11021
30000,10988
30000,11055
30000,10950
30000,11034
30000,11021
30000,11050
30000,11110
30000,10996
30000,11072
30000,11025
30000,11039
30000,11016
30000,11016
30000,11098
30000,11010
30000,11071
30000,11147
30000,10992
30000,11118
30000,10927
30000,11045
30000,11091
30000,11016
30000,11110
30000,11186
30000,10985
30000,11014
30000,11140
30000,11042
30000,10998
30000,11042
30000,11125
30000,11036
30000,11018
30000,10971
30000,11008
30000,11018
30000,11068
30000,10989
30000,11044
30000,11019
30000,11072
30000,10917
30000,11031
30000,11052
30000,11091
30000,11020
30000,11111
30000,11006
31000,11477
31000,11390
31000,11470
31000,11302
31000,11370
31000,11392
31000,11324
31000,11403
31000,11466
31000,11335
31000,11447
31000,11367
31000,11424
31000,11330
31000,11407
31000,11499
31000,11374
31000,11476
31000,11289
31000,11522
31000,11441
31000,11282
31000,11311
31000,11374
31000,11451
31000,11386
31000,11436
31000,11405
31000,11442
31000,11509
31000,11518
31000,11387
31000,11442
31000,11551
31000,11337
31000,11368
31000,11495
31000,11402
31000,11409
31000,11523
31000,11429
31000,11404
31000,11421
31000,11489
31000,11438
31000,11413
31000,11430
31000,11396
31000,11351
31000,11306
32000,11744
32000,11824
32000,11826
32000,11822
32000,11743
32000,11750
32000,11689
32000,11798
32000,11706
32000,11765
32000,11734
32000,11718
32000,11806
32000,11823
32000,11713
32000,11769
32000,11810
32000,11766
32000,11834
32000,11749
32000,11774
32000,11804
32000,11727
32000,11791
32000,11781
32000,11747
32000,11778
32000,11851
32000,11804
32000,11731
32000,11750
32000,11698
32000,11739
32000,11785
32000,11768
32000,11865
32000,11734
32000,11790
32000,11788
32000,11840
32000,11773
32000,11823
32000,11822
32000,11776
32000,11825
32000,11754
32000,11825
32000,11866
32000,11800
32000,11757
33000,12104
33000,12214
33000,12183
33000,12086
33000,12196
33000,12155
33000,12068
33000,12073
33000,12191
33000,12127
33000,12040
33000,12161
33000,12090
33000,12169
33000,12117
33000,12077
33000,12026
33000,12098
33000,12115
33000,12139
33000,12127
33000,12075
33000,12082
33000,12152
33000,12056
33000,12163
33000,12120
33000,12061
33000,12156
33000,12209
33000,12189
33000,12166
33000,12132
33000,12032
33000,12064
33000,12178
33000,12212
33000,12173
33000,12165
33000,12219
33000,12082
33000,12098
33000,12057
33000,12104
33000,12209
33000,12119
33000,12160
33000,12204
33000,12167
33000,12067
34000,12487
34000,12469
34000,12454
34000,12496
34000,12590
34000,12412
34000,12465
34000,12585
34000,12587
34000,12509
34000,12499
34000,12560
34000,12430
34000,12433
34000,12499
34000,12463
34000,12475
34000,12531
34000,12472
34000,12495
34000,12428
34000,12552
34000,12450
34000,12408
34000,12645
34000,12433
34000,12603
34000,12487
34000,12481
34000,12539
34000,12479
34000,12544
34000,12499
34000,12421
34000,12588
34000,12421
34000,12512
34000,12574
34000,12458
34000,12621
34000,12486
34000,12507
34000,12458
34000,12422
34000,12403
34000,12571
34000,12588
34000,12517
34000,12494
34000,12506
35000,12873
35000,13030
35000,12956
35000,12764
35000,12898
35000,12919
35000,12872
35000,12855
35000,12896
35000,12898
35000,12814
35000,12815
35000,12971
35000,12860
35000,12936
35000,12837
35000,12910
35000,12927
35000,12853
35000,12906
35000,12862
35000,12890
35000,12802
35000,12893
35000,12837
35000,12890
35000,12835
35000,12876
