n,C
40000,477494
40000,409705
40000,507853
40000,368552
40000,407078
40000,436667
40000,389002
40000,432723
40000,548489
40000,429636
40000,435344
40000,472499
40000,443740
40000,421311
40000,415786
40000,406605
40000,404003
40000,401297
40000,453311
40000,384624
40000,360572
40000,358658
40000,404082
40000,585015
40000,379409
40000,408703
40000,480225
40000,438607
40000,401141
40000,440343
40000,402628
40000,467882
40000,471345
40000,503388
40000,468424
40000,427582
40000,440220
40000,416796
40000,400290
40000,415197
40000,441015
40000,424697
41000,474495
41000,502577
41000,536819
41000,449014
41000,505414
41000,448347
41000,486641
41000,505251
41000,516371
41000,460082
41000,413178
41000,429129
41000,421818
41000,475913
41000,423043
41000,402050
41000,487490
41000,469401
41000,418338
41000,477782
41000,399484
41000,419149
41000,463981
41000,432506
41000,434495
41000,493478
41000,559413
41000,547470
41000,439175
41000,444350
41000,461373
41000,457780
41000,413835
41000,498498
41000,528834
41000,492195
41000,433987
41000,384867
41000,461830
41000,548062
41000,524645
41000,410909
41000,436828
41000,454912
41000,424086
41000,477487
41000,508853
41000,429597
41000,484164
41000,546877
42000,478591
42000,460678
42000,554136
42000,464584
42000,516633
42000,490694
42000,510850
42000,424296
42000,467243
42000,483254
42000,566089
42000,545603
42000,502683
42000,453731
42000,432139
42000,508075
42000,442133
42000,476985
42000,452899
42000,389963
42000,424611
42000,452298
42000,519055
42000,405268
42000,491816
42000,430035
42000,400349
42000,444399
42000,474116
42000,505326
42000,525901
42000,481491
42000,483260
42000,426521
42000,434386
42000,456587
42000,451270
42000,418044
42000,574170
42000,435806
42000,433959
42000,447687
42000,422977
42000,429134
42000,451899
42000,450573
42000,500382
42000,409995
42000,458672
42000,475311
43000,408546
43000,596395
43000,474412
43000,553813
43000,488133
43000,440389
43000,415968
43000,559929
43000,466141
43000,628386
43000,454380
43000,466228
43000,439317
43000,457877
43000,549741
43000,463664
43000,490344
43000,458854
43000,529408
43000,503903
43000,433820
43000,400561
43000,534113
43000,423108
43000,496147
43000,438783
43000,461217
43000,494386
43000,529243
43000,540704
43000,439804
43000,440034
43000,529350
43000,447855
43000,455130
43000,393405
43000,457925
43000,505570
43000,438819
43000,710750
43000,501646
