n,C-D
21000,7713
21000,16745
21000,86584
21000,66280
21000,33890
21000,108702
21000,26049
21000,46338
21000,108570
21000,82840
21000,34897
21000,74908
21000,65266
21000,45562
21000,20084
21000,13013
21000,79621
21000,100116
21000,48774
21000,36248
21000,42383
21000,3332
21000,47742
21000,19622
21000,6979
22000,38623
22000,45592
22000,30089
22000,85048
22000,126009
22000,89317
22000,62706
22000,13029
22000,53462
22000,37162
22000,74816
22000,45707
22000,71555
22000,58269
22000,65108
22000,15939
22000,46560
22000,80237
22000,93101
22000,57827
22000,7850
22000,43292
22000,92613
22000,76771
22000,90300
22000,54136
22000,36558
22000,59970
22000,84022
22000,23366
22000,76759
22000,42783
22000,85504
22000,48987
22000,84118
22000,37014
22000,136522
22000,17982
22000,34048
22000,47074
22000,53860
22000,32333
22000,33187
22000,37426
22000,40378
22000,24373
22000,9121
22000,43306
22000,166421
22000,63507
23000,48977
23000,55873
23000,49014
23000,53928
23000,27446
23000,118111
23000,19723
23000,85614
23000,61625
23000,48278
23000,9794
23000,38902
23000,42902
23000,33352
23000,68863
23000,50937
23000,74413
23000,32172
23000,78389
23000,130482
23000,28761
23000,114378
23000,42212
23000,85683
23000,35838
23000,19989
23000,67872
23000,1879
23000,61606
23000,50383
23000,31066
23000,68453
23000,92977
23000,45546
23000,74620
23000,49723
23000,74075
23000,46405
23000,109475
23000,73774
23000,96392
23000,2502
23000,217240
23000,47581
23000,24071
23000,64931
23000,35363
23000,80500
23000,84409
23000,54963
24000,12102
24000,5768
24000,138269
24000,53216
24000,8523
24000,63378
24000,77355
24000,59135
24000,75264
24000,14645
24000,39583
24000,28104
24000,55770
24000,48176
24000,92152
24000,72492
24000,96327
24000,20605
24000,98408
24000,36183
24000,54369
24000,58357
24000,46049
24000,35635
24000,24008
24000,71173
24000,52686
24000,40192
24000,57604
24000,76130
24000,2155
24000,72137
24000,35563
24000,165852
24000,35506
24000,26271
24000,37050
24000,10381
24000,69081
24000,50822
24000,22658
24000,35122
24000,106362
24000,20809
24000,81194
24000,93027
24000,68549
24000,67185
24000,10270
24000,88777
25000,22783
25000,62476
25000,30828
25000,50399
25000,26825
25000,30794
25000,126347
25000,58962
25000,98623
25000,59377
25000,54379
25000,24124
25000,80130
25000,71537
25000,51493
25000,44420
25000,61238
25000,68721
25000,42740
25000,33374
25000,31542
25000,62032
25000,97225
25000,49983
25000,105057
25000,54363
25000,71438
25000,44851
25000,58139
25000,31210
25000,62315
25000,14730
25000,86719
25000,166739
25000,32374
25000,33332
25000,59745
25000,7604
25000,29254
25000,40465
25000,152300
25000,24264
25000,120480
25000,175085
25000,112357
25000,46906
25000,38183
25000,65037
25000,13133
25000,140287
26000,54535
26000,108220
26000,96544
26000,50919
26000,56106
26000,82982
26000,77200
26000,156861
26000,58231
26000,55613
